SMILES,ID,CDK12 IC50,pValue,,,,,,, pValue
[H][C@]1(CCN(C1)C(=O)C1=CC(NC(=O)C=C)=CC=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157348,0.0090658,8.042593866,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C1=CC=C(NC(=O)C=C)C=C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157384,0.0158071,7.801147799,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C1=CC(NC(=O)C=C)=CC=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157385,0.010141975,7.993877464,,,,,,,
C=CC(=O)NCC(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157422,0.0304618,7.516244438,,,,,,,
[H][C@]1(CCN(C1)C(=O)[C@@H]1CCCN1C(=O)C=C)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157436,0.04148665,7.382091633,,,,,,,
FC(F)(F)C1=NOC(NC(=O)NC2=CC=C(OC3=C4C=CNC4=NC=C3)C=C2)=C1,ADS157524,1.3726,5.862456005,,,,,,,
[H][C@]1(CCN(C1)C(=O)[C@H]1CCCN1C(=O)C=C)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157540,0.07961425,7.099009192,,,,,,,
ClC1=CC=NC2=C1C=C(N2)C1=CC=CC(NC(=O)C2=CC=C(NC(=O)C=C)C=C2)=C1,ADS157543,3.8958,5.409403347,,,,,,,
[H][C@]1(CCN(C1)C(=O)[C@@H]1CCCN1C(=O)CCl)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157635,0.03533825,7.451754961,,,,,,,
[H][C@]1(CCN(C1)C(=O)[C@H]1CCCN1C(=O)CCl)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157636,0.02155615,7.666428803,,,,,,,
ClCC(=O)N1CCC(CC1)C(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157637,0.01333935,7.874865332,,,,,,,
[H][C@]1(CCN(C1)C(=O)CNC(=O)CCl)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157638,0.02071645,7.683684664,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1=CC(NC(=O)CCl)=CC=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157749,0.0120831,7.91782163,,,,,,,
[H][C@@]1(CCN(C1)C(=O)C1=CC(NC(=O)CCl)=CC=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157751,0.01050205,7.978725918,,,,,,,
[H][C@]1(CCN(C1)C(=O)[C@@H]1CCCN1C(=O)C=C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157753,0.15239355,6.817033414,,,,,,,
[H][C@@]1(CCN(C1)C(=O)[C@@H]1CCCN1C(=O)C=C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157756,0.03675475,7.434686527,,,,,,,
OCCN1N=C(C=C1NC(=O)NC1=CC=C(OC2=CC=NC3=C2C=CN3)C=C1)C(F)(F)F,ADS157762,14.15405,4.849119275,,,,,,,
OCCN1N=C(NC(=O)NC2=CC=C(OC3=CC=NC4=C3C=CN4)C=C2)C=C1C(F)(F)F,ADS157779,1.85E+00,5.732828272,,,,,,,
C=CC(=O)NC1=CC=C(C=C1)C(=O)NCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157887,0.098963875,7.004523308,,,,,,,
NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158028,0.1304346,6.884607189,,,,,,,
CCOCCC(=O)NC1=CC=C(C=C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158029,1.0184448,5.992062505,,,,,,,
C=CC(=O)NC1=CC=C(C=C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158030,0.03759445,7.424876264,,,,,,,
CN1CCN(CCN2N=C(NC(=O)NC3=CC=C(OC4=C5C=CNC5=NC=C4)C=C3)C=C2C(F)(F)F)CC1,ADS158033,6.4742276,5.188812037,,,,,,,
C=CC(=O)N1CCC(CC1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158080,0.46526225,6.332302183,,,,,,,
C=CC(=O)N1CCC[C@H]1C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158081,2.46E-02,7.609064893,,,,,,,
C=CC(=O)NC1=CC(=CC=C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158082,0.0161743,7.791174506,,,,,,,
C=CC(=O)NC1=CC(=CC=C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158082,0.0161743,7.791174506,,,,,,,
C=CC(=O)N1CCC[C@H](C1)C(=O)NCCC1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158083,0.01497865,7.824527327,,,,,,,
COCCC(=O)NC1=C(C=CC=C1)C(=O)N1CC[C@@H](C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS158085,0.028202875,7.549706617,,,,,,,
